iter	Passed	Remaining
0	1	140
1	2	123
2	3	124
3	4	119
4	6	115
5	7	117
6	8	112
7	9	111
8	10	108
9	12	108
10	13	106
11	14	103
12	15	105
13	17	104
14	18	103
15	19	101
16	20	100
17	21	98
18	22	97
19	24	96
20	25	95
21	26	93
22	27	91
23	28	90
24	29	89
25	31	88
26	32	87
27	33	86
28	34	85
29	35	83
30	36	82
31	38	80
32	39	79
33	40	78
34	41	77
35	42	75
36	43	74
37	44	73
38	46	72
39	47	71
40	48	69
41	48	67
42	50	66
43	51	65
44	52	63
45	53	62
46	54	61
47	55	59
48	56	58
49	57	57
50	58	56
51	59	55
52	61	54
53	62	53
54	63	51
55	64	50
56	65	49
57	66	48
58	67	47
59	68	45
60	70	44
61	71	43
62	72	42
63	73	41
64	74	40
65	75	39
66	76	37
67	77	36
68	78	35
69	80	34
70	81	33
71	82	32
72	83	30
73	84	29
74	85	28
75	86	27
76	87	26
77	88	25
78	90	23
79	91	22
80	92	21
81	93	20
82	94	19
83	95	18
84	96	17
85	97	15
86	98	14
87	99	13
88	101	12
89	102	11
90	103	10
91	105	9
92	106	7
93	107	6
94	108	5
95	109	4
96	110	3
97	111	2
98	113	1
99	114	0
